rating,review
1,The display got damaged with green lines only after using it for ten to twelve days 😭😭READ MORE
5,NiceREAD MORE
5,Excellent 👌READ MORE
5,Amazing.loved this colour.READ MORE
5,The colour is fantastic ☺️ and performing very well value for moneyREAD MORE
5,The battery life is best on iPhoneREAD MORE
5,Great phone and great delivery by flipkartREAD MORE
5,🤷 what are u expecting me to say? You already know Iphone is IphoneREAD MORE
5,Switched from Xiaomi 12 Pro that was a heater means heats lot much it is very cool device I also used iPhone 13 but it has little bit more better that iPhone 13 best deviceREAD MORE
5,"I had upgraded from XR to 14.. So it’s amazing❤️ But if you are already using 13 means, either upgrade it to 14 pro or don’t buy this.Ditto as iPhone 13.READ MORE"
5,Dream come true 👍 ✨️READ MORE
5,Worth of money.!READ MORE
5,Just amazingREAD MORE
5,Nice product  i am so happy😊😊😊READ MORE
5,NiceREAD MORE
5,Perfect as per reputation of the iPhone. Having pride of owning this piece of iPhone- Assembled in India 🇮🇳READ MORE
4,Nothing is bad in this phone i am using it for 1 month but tbh it did not meet my expectations .Looking at the price point i beleave it should not be sold greater than 40k.This is my first Iphone i just hope in the long run i get the value in return.Its a dream for many indians to own a iphone atleast once in a life time  i believe now that there are so many offers its not as hard as owning a iphone as it was before.You should always fullfill your dream no matter what is the costREAD MORE
5,Superb phone. Design could have been new but good performance . Purple color looks pretty decent. Light shade.READ MORE
3,Overall good performanceREAD MORE
5,Nice phone🔥❤️READ MORE
4,Awesome 👍READ MORE
3,Performance quality is goodREAD MORE
5,"Awesome Phone, camera is too good, This is my 4 th I phone from FlipkartREAD MORE"
5,Good product redREAD MORE
5,Best phone under this price range ...READ MORE
5,nice 😍READ MORE
5,Very good ✌️😍😍✌️READ MORE
4,"Battery life is not as good as i thought it would be. Transferring through an android phone and forgot to use move to iphone application, don't make this mistake. Otherwise overall good phone. The photos are pretty good actually ( main reason why i spend so much money behind it lol ). Other than that, it's an apple so yeah theres that.READ MORE"
5,Very good... Value for moneyREAD MORE
5,Great ProductREAD MORE
5,Happy .....READ MORE
1,Back glass very low qualityREAD MORE
5,AmazingREAD MORE
5,Camera quality is very goodREAD MORE
5,Great experience.READ MORE
5,Good upgrade and at good price .READ MORE
5,Fabulous iphone and i love always iphoneREAD MORE
5,Nice 👍 varun tinker my phone bestREAD MORE
4,"The Apple iPhone 14 is a great choice for anyone looking for a reliable, fast and stylish smartphone. It has a 6.1-inch OLED display that delivers vibrant colors and sharp details, and a powerful A15 Bionic chip that handles everything from gaming to multitasking with ease. The iPhone 14 also has an improved camera system that captures stunning photos and videos in any lighting condition, thanks to its 12MP wide-angle lens with optical image stabilization, Smart HDR 4 and Action mode. The iPh...READ MORE"
4,Powerful processorGreat display Great cameraLess batteryREAD MORE
1,"The product is fine, the buying experience was horrible. Better to avoid buying anything from Flipkart.READ MORE"
1,Not worth it..Camera sensor not really powerful although processing software is good. Good for videos not so much for stills.READ MORE
2,Battery getting down fastREAD MORE
5,The smoothness of the phone is excellent. Battery is okayish if you switch from android. Camera is one the best.READ MORE
5,Superb 😎READ MORE
5,Awesome ProductMust buyREAD MORE
5,I upgraded from iphone 12. Much better than iphone 12. Love itREAD MORE
5,I switched to 14 from Xr means LCD to OLED DISPLAY😍And the display was just awesomeBattery is effective according to daily usageTop notch performance Best in class mobile 👌🏼READ MORE
5,Good 14 ❤️READ MORE
5,Best Camera qualityREAD MORE
5,Just go for it. And starlight is lob🤍READ MORE
5,Excellent experience with iPhone. Very nice product.READ MORE
4,Product is good...bt battary is average.READ MORE
5,Very nice product. Amazing 😍READ MORE
5,Oh !!! What a phone!!Purple colour looks more premium.Switching from mid range android phone to iOS is really a mesmerising feel.READ MORE
5,Thanks FlipkartREAD MORE
5,Nice excellentREAD MORE
1,Wasn't mobile don't buyREAD MORE
4,Everything is good except camera.READ MORE
1,I feel sad to see the charging time and camera quality. Also double tap in back side is very unresponsive and time takingREAD MORE
5,Great phoneREAD MORE
1,Really disappointed with display and performance. Lagging in bgmi with graphics settings smooth + extreme. Hardly 50 fps. While lagging gives 25-30 fps which is frustrating for device like this.READ MORE
1,"I Purchased I phone 14 , and after 10 days it went dead, don't purchase itREAD MORE"
5,Very nice phone. Totally worth itREAD MORE
1,When I put a charge phone is heatingREAD MORE
5,Loved it 😊READ MORE
5,Fantastic 🔥⚡️READ MORE
5,"What a fabulous phone after using 1 monthI know in design it is similar to Iphone 13 but is specs aren't.There is substantial difference in display, battery, speed as compared to iPhone 13.Its-Battery easily lasts more than 1 day in moderate usage.Camera is fabulous.Display is excellent.Handy device.But heats sometimes while executing smaller tasks.I have Iphone Xs max. Its was a drastic upgrade from the same in terms of display, battery, speed ie hardware.But more concerning is ...READ MORE"
5,Superb product love it ❤️READ MORE
5,Very nice lookREAD MORE
5,AwesomeREAD MORE
5,Awesome Product Apple Fast deliveryREAD MORE
5,Really awesome and geniune product provided by flipkart . Thank you so much for making my life happy. All things are great not a single defect in this unit.READ MORE
5,amazing product😊nice flipkart service😍I'm happy🤗READ MORE
5,upgraded with my I phone 12 and satisfied with product. the experience u can get once u have it.READ MORE
5,Nice productREAD MORE
5,Excellent.READ MORE
5,"The iPhone 14 is a standout device in Apple's latest lineup. With its sleek design, powerful hardware and improved cameras, it's a must-have for any tech enthusiast.Pros:    Powerful hardware with the A16 chip.    Improved camera quality.    Long battery life.    Sleek design with premium build quality.    Improved display technology for an immersive experience.    Great operating system with a large app store.Cons:    Expensive compared to other smartphones.    No headphone jack...READ MORE"
1,GoodREAD MORE
1,Heating issue. Phone gets heated on charing. on using camera sometimes on idle.Waste of 70K. Ten thousand rupees Android phones worked better for me.Go for it only for showoffREAD MORE
5,NiceREAD MORE
3,Camera quality very dirtyREAD MORE
5,Superb 😍READ MORE
1,Build quality is very bad after days speaker is not warm fineREAD MORE
5,"Genuine and nice,worthy upgrade considering technical enhancements over IPhone 13(may not be for 13 users),like better sensor and low light performance, extra 2gb ram,5 core Gpu(as in 13 pro) and  longer ios support.New ios 16 is stable.Flipkart service is good.READ MORE"
5,This iPhone Camera is very good👍 and Display is Really good iphone 14 is very Handi . My opinion this iPhone 14 is Valu of Money.READ MORE
5,All rounder phoneHandy phoneBest camera battery performanceREAD MORE
5,Very niceREAD MORE
5,Nice productREAD MORE
5,sound quality is superb ❤️🤗READ MORE
2,Battery back up is to low hitting issueREAD MORE
5,NiceREAD MORE
2,"Actually really to much expensive, we expending 70k and  not giving adopter with mobile, only have brand, nothing have in iPhone, so better go Android phone onlyREAD MORE"
5,Best phoneREAD MORE
5,"One of the Best Phone from Apple , Battery Life Too Good with 2 Lines (1Physical , another Virtual sim) last for about one and half day for normal usage , really improved by apple  , Thanks for that.READ MORE"
5,Everything is perfectREAD MORE
5,I have recently shifted from android flagship to IOS and what an experience it is ❤️READ MORE
1,Not worth itREAD MORE
5,AmazingREAD MORE
4,Flawless performance for the past 3 months. Was using android phones till now. I think android is much easier to use on a day to day basis. IOS is also good but more complicated to use. Phone is perfect.READ MORE
5,In love with the camera🤌🏻READ MORE
